1,Kane Williamson,New Zealand,859,54.99
2,Joe Root,England,824,49.73
3,Daryl Mitchell,New Zealand,768,50.25
3,Babar Azam,Pakistan,768,45.86
5,Steven Smith,Australia,757,56.97
6,Rohit Sharma,India,751,45.47
7,Yashasvi Jaiswal,India,740,68.53
8,Dimuth Karunaratne,Sri Lanka,739,41.31
9,Virat Kohli,India,737,49.16
10,Harry Brook,England,735,62.16
11,Usman Khawaja,Australia,728,45.42
12,Marnus Labuschagne,Australia,720,49.57
13,Travis Head,Australia,697,41.75
14,Saud Shakeel,Pakistan,693,60.44
15,Rishabh Pant,India,692,43.67
